n-digits,Grade School,Divide and Conquer,Karatsuba
397,53,143,38
398,53,135,37
399,56,149,36
400,56,139,37
401,56,136,37
402,54,136,36
403,54,140,40
404,54,135,37
405,55,141,54
406,63,138,38
407,54,137,39
408,65,152,39
409,58,138,39
410,57,180,38
411,59,148,44
412,60,171,62
413,59,156,42
414,57,195,81
415,94,180,57
416,72,169,44
417,64,170,44
418,78,209,73
419,76,160,43
420,59,149,43
421,62,143,43
422,61,144,42
423,62,143,41
424,60,143,42
425,60,144,42
426,61,141,43
427,66,143,58
428,62,145,42
429,62,140,44
430,66,145,43
431,65,142,47
432,83,156,47
433,66,149,46
434,66,141,44
435,64,142,44
436,80,146,55
437,66,148,50
438,72,157,45
439,70,142,49
440,84,143,45
441,66,145,48
442,67,143,46
443,73,142,43
444,69,141,46
445,67,149,46
446,70,141,44
447,67,145,48
448,78,149,47
449,71,149,49
450,69,142,49
451,70,140,45
452,70,142,48
453,70,145,49
454,74,150,49
455,73,149,48
456,79,149,46
457,70,138,47
458,72,142,48
459,73,137,48
460,73,149,50
461,71,145,49
462,73,146,50
463,75,144,47
464,84,323,59
465,80,161,54
466,79,371,74
467,86,150,51
468,78,152,51
469,77,153,53
470,74,159,54
471,83,144,50
472,78,150,53
473,78,230,102
474,88,161,68
475,265,553,186
476,153,247,111
477,135,261,73
478,99,152,63
479,90,157,52
480,89,163,63
481,84,152,53
482,89,152,52
483,86,150,53
484,88,194,53
485,85,150,56
486,93,159,63
487,88,168,69
488,121,186,65
489,96,156,58
490,85,168,81
491,106,155,58
492,96,197,64
493,88,372,83
494,347,226,75
495,114,373,109
496,143,317,123
497,147,167,78
498,96,165,57
499,89,153,57
500,96,162,107
501,200,205,178
502,114,167,58
503,93,385,106
504,130,252,73
505,98,168,77
506,129,198,90
507,98,149,57
508,91,151,59
509,88,286,99
510,200,259,62
511,115,341,73
512,100,151,164
513,179,913,77
514,154,667,58
515,94,562,60
516,96,550,60
517,95,553,59
518,90,547,57
519,94,543,58
520,91,543,57
521,93,549,57
522,93,547,58
523,95,571,68
524,103,654,76
525,109,555,61
526,101,600,60
527,98,573,68
528,100,807,92
529,112,721,94
530,133,601,65
531,100,577,61
532,96,558,60
533,97,592,68
534,105,560,60
535,98,553,61
536,100,529,61
537,97,535,61
538,97,527,60
539,99,538,59
540,98,529,60
541,99,562,66
542,107,551,61
543,103,538,62
544,102,541,61
545,103,543,62
546,105,552,62
547,102,548,65
548,114,590,73
549,120,550,82
550,120,753,71
551,125,596,63
552,106,674,70
553,109,548,66
554,106,547,67
555,135,596,69
556,107,584,81
557,119,678,76
558,125,641,71
559,114,592,69
560,111,559,66
561,110,586,72
562,113,560,65
563,114,580,70
564,108,558,65
565,109,556,70
566,110,563,69
567,112,544,66
568,117,545,64
569,109,540,67
570,111,539,70
571,110,536,66
572,112,540,67
573,112,532,69
574,114,533,66
575,114,538,77
576,138,659,77
577,131,578,68
578,129,569,70
579,115,563,67
580,116,558,76
581,117,617,74
582,115,539,68
583,115,589,74
584,134,583,100
585,130,546,70
586,119,575,68
587,120,537,70
588,119,541,69
589,119,572,70
590,117,549,70
591,120,540,70
592,128,536,69
593,121,554,71
594,122,540,77
595,120,870,116
596,185,841,113
597,184,675,94
598,134,557,76
599,127,676,80
600,139,647,73
601,124,571,83
602,156,637,74
603,128,554,74
604,125,547,78
605,127,742,119
606,160,662,89
607,129,560,73
608,127,549,73
609,126,548,73
610,128,567,74
611,139,545,86
612,139,607,99
613,322,727,113
614,198,658,105
615,154,715,90
616,155,558,78
617,132,550,75
618,129,550,74
619,134,546,75
620,130,549,75
621,140,555,75
622,133,543,78
623,135,572,78
624,134,540,76
625,141,536,77
626,135,540,76
627,135,538,78
628,134,539,79
629,138,538,77
630,141,612,92
631,179,600,130
632,208,604,87
633,162,587,78
634,148,655,98
635,141,684,100
636,147,684,76
637,143,631,90
638,142,620,84
639,148,577,106
640,173,616,77
641,141,633,105
642,162,565,85
643,146,575,115
644,211,673,86
645,146,594,81
646,143,744,91
647,298,683,79
648,146,562,83
649,144,554,80
650,143,537,80
651,144,546,80
652,142,542,80
653,143,543,80
654,146,591,82
655,149,540,80
656,149,546,83
657,146,539,82
658,148,546,80
659,149,553,81
660,153,545,104
661,149,552,83
662,149,544,81
663,150,546,81
664,150,537,86
665,150,536,82
666,151,539,83
667,153,539,82
668,154,546,84
669,165,551,84
670,154,544,83
671,154,543,87
672,158,540,85
673,154,552,84
674,165,582,85
675,160,604,86
676,158,538,88
677,163,540,85
678,159,550,84
679,155,560,85
680,160,542,88
681,163,543,85
682,160,543,85
683,159,551,84
684,159,538,98
685,187,545,86
686,161,553,86
687,166,558,88
688,165,561,97
689,166,539,89
690,161,543,87
691,168,543,88
692,163,537,96
693,165,538,87
694,185,573,109
695,166,588,88
696,169,544,89
697,165,554,89
698,171,564,89
699,167,547,90
700,169,556,100
701,169,545,96
702,168,541,92
703,167,569,109
704,171,544,91
705,173,555,93
706,173,548,95
707,173,539,91
708,169,537,91
709,171,541,92
710,174,542,99
711,175,540,91
712,181,549,94
713,181,578,95
714,196,658,92
715,180,545,100
716,176,558,92
717,176,564,118
718,178,539,96
719,177,545,97
720,179,543,92
721,191,540,95
722,182,552,114
723,183,555,95
724,196,540,94
725,184,539,96
726,185,537,99
727,183,546,94
728,181,541,96
729,179,540,108
730,184,542,98
731,186,542,96
732,184,544,105
733,194,579,104
734,184,543,100
735,190,539,97
736,185,546,97
737,186,549,98
738,190,549,98
739,189,539,101
740,190,540,98
741,187,551,98
742,189,549,99
743,192,540,102
744,191,540,98
745,192,541,100
746,196,546,100
747,197,548,101
748,192,538,106
749,196,542,100
750,196,542,103
751,196,546,104
752,194,592,104
753,243,544,101
754,195,540,102
755,200,540,103
756,197,542,102
757,198,544,106
758,200,564,103
759,199,543,103
760,202,541,105
761,199,541,103
762,200,541,104
